Position,Worth,Name,Age,Source,Country,Gender_cat
207,7.4 BUSD,Vincent Bollore,66,Finance and Investments  ==> investments,None,Not Available
208,7.4 BUSD,Pauline Macmillan Keinath,84,Food and Beverage  ==> Cargill,None,Female
209,7.4 BUSD,Jay Y. Lee,50,Diversified  ==> Samsung,South Korea,Male
210,7.4 BUSD,Anders Holch Povlsen,45,Fashion & Retail  ==> fashion retail,None,Male
211,7.3 BUSD,Eli Broad,85,Finance and Investments  ==> investments,None,Not Available
212,7.3 BUSD,Michael Kadoorie,76,"Energy  ==> hotels, energy",Hong Kong,Male
213,7.3 BUSD,Iskander Makhmudov,54,"Metals & Mining  ==> mining, metals, machinery",Russia,Male
214,7.3 BUSD,Frederik Paulsen,67,Healthcare  ==> health care,Sweden,Not Available
215,7.3 BUSD,Sun Hongbin,55,Real Estate  ==> real estate,None,Male
216,7.3 BUSD,Christy Walton,69,Fashion & Retail  ==> Walmart,United States,Not Available
217,7.2 BUSD,Shahid Khan,67,Automotive  ==> auto parts,None,Male
218,7.2 BUSD,Ananda Krishnan,80,"Telecom  ==> telecoms, media, oil-services",None,Male
219,7.2 BUSD,Carrie Perrodo,67,Energy  ==> oil,None,Not Available
220,7.2 BUSD,Quek Leng Chan,76,"Diversified  ==> banking, property",None,Male
221,7.2 BUSD,Wang Wenxue,51,Real Estate  ==> real estate,China,Not Available
222,7.1 BUSD,John Doerr,66,Technology  ==> venture capital,None,Male
223,7.1 BUSD,Patrick Drahi,54,Telecom  ==> telecom,None,Male
224,7.1 BUSD,Eva Gonda De Rivera,62,Food and Beverage  ==> beverages,None,Female
225,7.1 BUSD,Willi & Isolde Liebherr,62,Construction & Engineering  ==> Construction,None,Male
226,7.1 BUSD,Ricardo Salinas Pliego,62,"Fashion & Retail  ==> retail, media",None,Male
227,7.1 BUSD,Suh Kyung-Bae,55,Fashion & Retail  ==> cosmetics,South Korea,Male
228,7.0 BUSD,Pollyanna Chu,60,Finance and Investments  ==> financial services,None,Female
229,7.0 BUSD,John Fredriksen,73,Logistics  ==> shipping,Cyprus,Male
230,7.0 BUSD,Goh Cheng Liang,91,Manufacturing  ==> paints,None,Male
231,7.0 BUSD,Sri Prakash Lohia,65,Manufacturing  ==> polyester,None,Male
232,7.0 BUSD,Lu Zhiqiang,65,Real Estate  ==> real estate,China,Male
233,7.0 BUSD,Jorn Rausing,58,Food and Beverage  ==> packaging,None,Male
234,7.0 BUSD,Johann Rupert,68,Fashion & Retail  ==> luxury goods,None,Not Available
235,7.0 BUSD,Jacques Saade,81,Logistics  ==> shipping,None,Male
236,7.0 BUSD,Wu Shaoxun,62,Food and Beverage  ==> wine,China,Male
