ID,Position,Worth,First Name,Last Name,Age,Gender_cat,Source,Country,Image,Nationality,name,country
3786,1650,1.4 BUSD,Anu,Aga,75,Not Available,Construction & Engineering  ==> engineering,India,https://specials-images.forbesimg.com/imageserve/5a7f0b2fa7ea43169013281b/416x416.jpg?background=000000&cropX1=3&cropX2=174&cropY1=2&cropY2=173,,Anu Aga,India
1293,1651,1.4 BUSD,Farkhad,Akhmedov,62,Male,Energy  ==> investments,Russia,https://specials-images.forbesimg.com/imageserve/9a9b8300699e0c4670bb8ac89830b351/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=0&cropY2=741,,Farkhad Akhmedov,Russia
5672,1652,1.4 BUSD,Alberto,Alcocer,75,Male,Finance and Investments  ==> investments,Spain,https://specials-images.forbesimg.com/imageserve/a52ce63776cba920958cb0d7d7ba291e/416x416.jpg?background=000000&cropX1=0&cropX2=1002&cropY1=28&cropY2=1031,,Alberto Alcocer,Spain
1334,1653,1.4 BUSD,Bassam,Alghanim,66,Male,Diversified  ==> diversified,Kuwait,https://specials-images.forbesimg.com/imageserve/71d32e49d176d12876ada8942eec1019/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=60&cropY2=801,,Bassam Alghanim,Kuwait
1378,1654,1.4 BUSD,Kutayba,Alghanim,72,Not Available,Diversified  ==> diversified,Kuwait,https://specials-images.forbesimg.com/imageserve/58d3cbeb4bbe6f0e5589280b/416x416.jpg?background=000000&cropX1=0&cropX2=1497&cropY1=57&cropY2=1554,,Kutayba Alghanim,Kuwait
2536,1655,1.4 BUSD,Alexandra,Andresen,20,Female,Diversified  ==> investments,Norway,https://specials-images.forbesimg.com/imageserve/58a383764bbe6f0e5586cfc6/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=5&cropY2=749,,Alexandra Andresen,Norway
8416,1656,1.4 BUSD,Katharina,Andresen,22,Female,Diversified  ==> investments,Norway,https://specials-images.forbesimg.com/imageserve/58a3900f31358e1a35ab63fe/416x416.jpg?background=000000&cropX1=103&cropX2=744&cropY1=93&cropY2=734,,Katharina Andresen,Norway
2316,1657,1.4 BUSD,Vasily,Anisimov,66,Not Available,Metals & Mining  ==> real estate,Russia,https://specials-images.forbesimg.com/imageserve/5a80c73f4bbe6f2652f540f5/416x416.jpg?background=000000&cropX1=865&cropX2=2746&cropY1=17&cropY2=1897,,Vasily Anisimov,Russia
9723,1658,1.4 BUSD,Mori,Arkin,65,Male,Healthcare  ==> pharmaceuticals,Israel,https://specials-images.forbesimg.com/imageserve/8608c40a98b3c1609e133a50d8f0e02b/416x416.jpg?background=000000&cropX1=63&cropX2=640&cropY1=48&cropY2=625,,Mori Arkin,Israel
1242,1659,1.4 BUSD,Nigel,Austin,47,Male,Fashion & Retail  ==> retailing,Australia,https://specials-images.forbesimg.com/imageserve/591c5aec4bbe6f1b730a5377/416x416.jpg?background=000000&cropX1=414&cropX2=866&cropY1=103&cropY2=555,,Nigel Austin,Australia
2112,1660,1.4 BUSD,Krishna,Bangur,57,Male,Manufacturing  ==> graphite electrodes,India,https://specials-images.forbesimg.com/imageserve/5a7f29ed4bbe6f2652f52f2f/416x416.jpg?background=000000&cropX1=10&cropX2=358&cropY1=90&cropY2=439,,Krishna Kumar Bangur,India
1421,1661,1.4 BUSD,Herb,Chambers,76,Male,Automotive  ==> car dealerships,United States,https://specials-images.forbesimg.com/imageserve/5601a83fe4b0ffa7afe4f33d/416x416.jpg?background=000000&cropX1=163&cropX2=596&cropY1=124&cropY2=557,,Herb Chambers,United States
1952,1662,1.4 BUSD,R.g.,Chandramogan,69,Male,Food and Beverage  ==> dairy,India,https://specials-images.forbesimg.com/imageserve/5a8f033d4bbe6f0fa82645d1/416x416.jpg?background=000000&cropX1=178&cropX2=3434&cropY1=600&cropY2=3859,,R.G. Chandramogan,India
7862,1663,1.4 BUSD,Chang,Chang,67,Not Available,Service  ==> educational services,South Korea,https://specials-images.forbesimg.com/imageserve/5b15affa31358e612fbb1f7b/416x416.jpg?background=000000&cropX1=29&cropX2=520&cropY1=47&cropY2=538,,Chang Pyung-Soon,South Korea
